Name,Continent,Capital,Population,Density,Area,Lat,Long
Paraguay,South America,Asuncion,7147553,18,397300,-23.442503,-58.443832
Peru,South America,Lima,33050211,26,1280000,-9.189967,-75.015152
Philippines,Asia,Manila,109830324,368,298170,12.879721,121.774017
Poland,Europe,Warsaw,37839255,124,306230,51.919438,19.145136
Portugal,Europe,Lisbon,10191409,111,91590,39.399872,-8.224454
Qatar,Asia,Doha,2889284,248,11610,25.354826,51.183884
Romania,Europe,Bucharest,19214608,84,230170,45.943161,24.96676
Russia,Asia and Europe,Moscow,145945524,9,16376870,61.52401,105.318756
Rwanda,Africa,Kigali,13005303,525,24670,-1.940278,29.873888
Saint Kitts and Nevis,North America,Basseterre,53264,205,260,17.357822,-62.782998
Saint Lucia,North America,Castries,183774,301,610,13.909444,-60.978893
Saint Vincent and the Grenadines,North America,Kingstown,111002,284,390,12.984305,-61.287228
Samoa,Oceania,Apia,198643,70,2830,-13.759029,-172.104629
San Marino,Europe,San Marino,33944,566,60,43.94236,12.457777
Sao Tome and Principe,Africa,Sao Tome,219844,228,960,0.18636,6.613081
Saudi Arabia,Asia,Riyadh,34905942,16,2149690,23.885942,45.079162
Senegal,Africa,Dakar,16816539,87,192530,14.497401,-14.452362
Serbia,Europe,Belgrade,8731081,100,87460,44.016521,21.005859
Seychelles,Africa,Victoria,98453,214,460,-4.679574,55.491977
Sierra Leone,Africa,Freetown,8004158,111,72180,8.460555,-11.779889
Singapore,Asia,Singapore,5858322,8358,700,1.352083,103.819836
Slovakia,Europe,Bratislava,5460109,114,48088,48.669026,19.699024
Slovenia,Europe,Ljubljana,2078989,103,20140,46.151241,14.995463
Solomon Islands,Oceania,Honiara,689671,25,27990,-9.64571,160.156194
Somalia,Africa,Mogadishu,15965848,25,627340,5.152149,46.199616
South Africa,Africa,Pretoria,59436725,49,1213090,-30.559482,22.937506
South Korea,Asia,Seoul,51276977,527,97230,35.907757,127.766922
South Sudan,Africa,Juba,11216250,18,610952,6.877,31.307
Spain,Europe,Madrid,46757980,94,498800,40.463667,-3.74922
Sri Lanka,Asia,Sri Jayawardenapura-Kotte,21428970,341,62710,7.873054,80.771797
Sudan,Africa,Khartoum,44019263,25,1765048,12.862807,30.217636
Suriname,South America,Paramaribo,587541,4,156000,3.919305,-56.027783
Sweden,Europe,Stockholm,10110233,25,410340,60.128161,18.643501
Switzerland,Europe,Bern,8665615,219,39516,46.818188,8.227512
Syria,Asia,Damascus,17571053,95,183630,34.802075,38.996815
Taiwan,Asia,Taipei,23824369,673,35410,23.69781,120.960515
Tajikistan,Asia,Dushanbe,9573310,68,139960,38.861034,71.276093
Tanzania,Africa,Dodoma,60012400,67,885800,-6.369028,34.888822
Thailand,Asia,Bangkok,69830779,137,510890,15.870032,100.992541
Timor-Leste,Asia,Dili,1322667,89,14870,-8.874217,125.727539
Togo,Africa,Lome,8310934,152,54390,8.619543,0.824782
Tonga,Oceania,Nuku'alofa,105901,147,720,-21.178986,-175.198242
Trinidad and Tobago,North America,Port of Spain,1400283,273,5130,10.691803,-61.222503
Tunisia,Africa,Tunis,11839918,76,155360,33.886917,9.537499
Turkey,Asia and Europe,Ankara,84495243,110,769630,38.963745,35.243322
Turkmenistan,Asia,Asgabat,6046292,13,469930,38.969719,59.556278
Tuvalu,Oceania,Funafuti,11817,393,30,-7.109535,177.64933
Uganda,Africa,Kampala,45974931,229,199810,1.373333,32.290275
Ukraine,Europe,Kiev,43686577,75,579320,48.379433,31.16558
United Arab Emirates,Asia,Abu Dhabi,9910892,118,83600,23.424076,53.847818
United Kingdom,Europe,London,67948282,281,241930,55.378051,-3.435973
United States,North America,Washington D.C.,331341050,36,9147420,37.09024,-95.712891
Uruguay,South America,Montevideo,3475842,20,175020,-32.522779,-55.765835
Uzbekistan,Asia,Tashkent,33551824,79,425400,41.377491,64.585262
Vanuatu,Oceania,Port Vila,308337,25,12190,-15.376706,166.959158
Vatican City,Europe,Vatican City,825,825,1,41.902916,12.453389
Venezuela,South America,Caracas,28421581,32,882050,6.42375,-66.58973
Vietnam,Asia,Hanoi,97490013,314,310070,14.058324,108.277199
Yemen,Asia,Sana'a,29935468,56,527970,15.552727,48.516388
Zambia,Africa,Lusaka,18468257,25,743390,-13.133897,27.849332
Zimbabwe,Africa,Harare,14899771,38,386850,-19.015438,29.154857
